Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.1;"Сложность объяснения сути понятия ""персоналистический"" Мир, квантовая Реальность многовариантна, как и мы сами. Мы верим в один только вариант. Мы ничего не создаём. Субъективная Реальность как калейдоскоп меняется у всех Форм";3.0001
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.2;Причина различий в индивидуальных ФД, в их качественности. Убедительная статичная картина не позволяет воспринимать хотя бы несколько сценариев, иначе мы бы растерялись, кто мы. Это возможно или в медитации, или при ллууввумической амплиативности;3.0004
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.3;Что же такое окружающая действительность. Режиссерами являются не ФТв ДНК, а свилгсонные Творцы в мусорной части ДНК, порождающие РНК. Генные Формы Самосознаний структурированы множеством разнодоминантных ФТв;3.0006
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.4;Свилгсонные ФТв кодируют РНК посредством особых белков с ФТв интерпретаторами. На каждый ген приходится около 150-200 ФТв-регуляторов;3.0015
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.5;Осознанность - синтез и накопление Опыта при взмд Форм разных типов бирвуляртностей. Пример неврологического механизма восприятия. Интерпретация ощущений происходит у био-Творцов ствола мозга;3.0017
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.6;Более качественную осознанность обеспечивают ФТв коры мозга. Нереализованная интуитивная осознанность с примером Ориса. Распаковка из «коллективного бессознательного» и «коллективного Подсознания». Осознанность - это контролируемое вами отражение вашей ФД здесь и сейчас. Повышение осознанности - это и включение всех органов чувств, и интуитивное восприятие своих партикулярных Формо-Типов;3.0021
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.7;ФД возможна благодаря скр. системе. Наше восприятие перфокусировок животных. Мы не можем понять этот процесс для неодушевлённых физических Формо-систем, скррууллерртная система как бы отсутствует, но у них также есть свои типы бирвуляртностей;3.0028
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 1. Множество персоналистических Миров и осознанность Восприятия;3.9.1.8;Имперсептность между всеми Прото-Формами только кажущаяся, персоналистические ПВК всех Прото-Форм образуют ФД Планетарной ТОО-УУ-Сущности. Осознанность можно воспринять только в одном общем типе бирвуляртности;3.0032
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.1;"Межпротоформная ФД разных Форм Самосознаний образуется по степени коварллертности взаимосвязей между Формо-Творцами. Конгениальные ""личностные"" Интерпретации и партикулярные Формо-Типы";3.0034
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.2;Определение Стерео-Формы. Диффузгентное состояние НУУ-ВВУ-Формо-Типов. Идентичность понятий Стерео-Форма и ЛЛУУ-ВВУ-Форма как одной ТОО-УУ-Сущности ККР Человечества. Нет смысла рассматривать все прочие варианты ФД, так как они только запутают нас;3.0039
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.3;"Структура механизма ВЭН и ПЭС проецирует Ваш Интерес в соответствующую часть Пространства-Времени. Образование субъективных Реальностей и персоналистических Миров. Включение партикулярных Формо-Типов в один ""сценарий развития"" и образование творческих коллективов на основе общего Интереса";3.0045
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.4;"В окружающем вас Мире может отсутствовать всё что угодно, кроме ВАС. Вы являетесь теми, кем себя создаёте в отношениях. Смысл фразы ""относиться к другим людям, как к самим себе"". Реакции других надо научиться воспринимать как помощь. Фиксация на эго-тенденциях";3.0051
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.5;Способность к разотождествлению появляется с усвоением ИИ Знания. Физическое тело теряет исключительное значение, и вы становитесь способны к тождественному восприятию других Форм. Реализация низкокачественных реакций перекладывается на ваши партикулярные Формо-Типы. Позитивное восприятие любой проблемы как возможности для духовного роста. Состояние глубокого Понимания кармической неразделимости и творческой общности с каждым;3.0056
Основы;Том 3;Раздел IХ;Персоналистический Мир как Форма Самосознания;Глава 2. Принцип осуществления Механизма эксгиберации волновых аналогов НУУ-ВВУ-Формо-Типов из ф-Конфигураций дооллсовых и флаксовых Форм Самосознаний;3.9.2.6;Механизм формирования отдельных личностей. 386 дооллсово-квантовых СВУУЛЛ-ВВУ-Сущностей формируют деплиативную часть ФД. Увеличение энергоёмкости СВУУЛЛ-ВВУ приводит к возможности материализации в нашем диапазоне;3.0062
